,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,73,0.001,3.290909090909091,3.2,2023,23032022_W01_AVEp0_VEp0_73
0,74,0.001,3.290909090909091,3.2,2024,23032022_W01_AVEp0_VEp0_74
0,75,0.001,3.290909090909091,3.2,2025,23032022_W01_AVEp0_VEp0_75
0,76,0.001,3.290909090909091,3.2,2026,23032022_W01_AVEp0_VEp0_76
0,77,0.001,3.290909090909091,3.2,2027,23032022_W01_AVEp0_VEp0_77
0,78,0.001,3.290909090909091,3.290909090909091,2022,23032022_W01_AVEp0_VEp0_78
0,79,0.001,3.290909090909091,3.290909090909091,2023,23032022_W01_AVEp0_VEp0_79
0,80,0.001,3.290909090909091,3.290909090909091,2024,23032022_W01_AVEp0_VEp0_80
0,81,0.001,3.290909090909091,3.290909090909091,2025,23032022_W01_AVEp0_VEp0_81
0,82,0.001,3.290909090909091,3.290909090909091,2026,23032022_W01_AVEp0_VEp0_82
0,83,0.001,3.290909090909091,3.290909090909091,2027,23032022_W01_AVEp0_VEp0_83
0,84,0.001,3.290909090909091,3.381818181818182,2022,23032022_W01_AVEp0_VEp0_84
0,85,0.001,3.290909090909091,3.381818181818182,2023,23032022_W01_AVEp0_VEp0_85
0,86,0.001,3.290909090909091,3.381818181818182,2024,23032022_W01_AVEp0_VEp0_86
0,87,0.001,3.290909090909091,3.381818181818182,2025,23032022_W01_AVEp0_VEp0_87
0,88,0.001,3.290909090909091,3.381818181818182,2026,23032022_W01_AVEp0_VEp0_88
0,89,0.001,3.290909090909091,3.381818181818182,2027,23032022_W01_AVEp0_VEp0_89
0,90,0.001,3.290909090909091,3.4727272727272727,2022,23032022_W01_AVEp0_VEp0_90
0,91,0.001,3.290909090909091,3.4727272727272727,2023,23032022_W01_AVEp0_VEp0_91
0,92,0.001,3.290909090909091,3.4727272727272727,2024,23032022_W01_AVEp0_VEp0_92
0,93,0.001,3.290909090909091,3.4727272727272727,2025,23032022_W01_AVEp0_VEp0_93
0,94,0.001,3.290909090909091,3.4727272727272727,2026,23032022_W01_AVEp0_VEp0_94
0,95,0.001,3.290909090909091,3.4727272727272727,2027,23032022_W01_AVEp0_VEp0_95
0,96,0.001,3.290909090909091,3.563636363636364,2022,23032022_W01_AVEp0_VEp0_96
0,97,0.001,3.290909090909091,3.563636363636364,2023,23032022_W01_AVEp0_VEp0_97
0,98,0.001,3.290909090909091,3.563636363636364,2024,23032022_W01_AVEp0_VEp0_98
0,99,0.001,3.290909090909091,3.563636363636364,2025,23032022_W01_AVEp0_VEp0_99
